SpeciesID,ScientificName,TSNID,CommonName,Rank,Taxon,cosewic_status,escc_status,alberta_status,acims_status,abmi_link,description
PurpleFinch,Haemorhous purpureus,99002576,Purple Finch,Species,Birds,,,,,,
RosebreastedGrosbeak,Pheucticus ludovicianus,179139,Rose-breasted Grosbeak,Species,Birds,,,,,,
RedbreastedNuthatch,Sitta canadensis,99003064,Red-breasted Nuthatch,Species,Birds,,,,,,
RubycrownedKinglet,Corthylio calendula,99007619,Ruby-crowned Kinglet,Species,Birds,,,,,,
RedeyedVireo,Vireo olivaceus,179021,Red-eyed Vireo,Species,Birds,,,,,,
RockPigeon,Columba livia,99003061,Rock Pigeon,Species,Birds,,,,,,
RustyBlackbird,Euphagus carolinus,179091,Rusty Blackbird,Species,Birds,,,,,,
RuffedGrouse,Bonasa umbellus,175790,Ruffed Grouse,Species,Birds,,,,,,
RedwingedBlackbird,Agelaius phoeniceus,179045,Red-winged Blackbird,Species,Birds,,,,,,
SavannahSparrow,Passerculus sandwichensis,99007670,Savannah Sparrow,Species,Birds,,,,,,
SedgeWren,Cistothorus stellaris,99007686,Sedge Wren,Species,Birds,,,,,,
Sora,Porzana carolina,176242,Sora,Species,Birds,,,,,,
SolitarySandpiper,Tringa solitaria,99002631,Solitary Sandpiper,Species,Birds,,,,,,
SongSparrow,Melospiza melodia,99007668,Song Sparrow,Species,Birds,,,,,,
SpottedSandpiper,Actitis macularius,99002634,Spotted Sandpiper,Species,Birds,,,,,,
SwampSparrow,Melospiza georgiana,99007666,Swamp Sparrow,Species,Birds,,,,,,
SwainsonsThrush,Catharus ustulatus,179788,Swainson's Thrush,Species,Birds,,,,,,
TennesseeWarbler,Leiothlypis peregrina,950014,Tennessee Warbler,Species,Birds,,,,,,
TreeSwallow,Tachycineta bicolor,99002649,Tree Swallow,Species,Birds,,,,,,
VariedThrush,Ixoreus naevius,179773,Varied Thrush,Species,Birds,,,,,,
VesperSparrow,Pooecetes gramineus,99007678,Vesper Sparrow,Species,Birds,,,,,,
WarblingVireo,Vireo gilvus,179023,Warbling Vireo,Species,Birds,,,,,,
WhitebreastedNuthatch,Sitta carolinensis,99003065,White-breasted Nuthatch,Species,Birds,,,,,,
WhitecrownedSparrow,Zonotrichia leucophrys,99007650,White-crowned Sparrow,Species,Birds,,,,,,
WesternMeadowlark,Sturnella neglecta,179039,Western Meadowlark,Species,Birds,,,,,,
WesternTanager,Piranga ludoviciana,99002586,Western Tanager,Species,Birds,,,,,,
WesternWoodPewee,Contopus sordidulus,99002628,Western Wood-Pewee,Species,Birds,,,,,,
WilsonsSnipe,Gallinago delicata,99002630,Wilson's Snipe,Species,Birds,,,,,,
WilsonsWarbler,Cardellina pusilla,99001415,Wilson's Warbler,Species,Birds,,,,,,
WinterWren,Troglodytes hiemalis,99001407,Winter Wren,Species,Birds,,,,,,
WhitethroatedSparrow,Zonotrichia albicollis,99007649,White-throated Sparrow,Species,Birds,,,,,,
WhitewingedCrossbill,Loxia leucoptera,179268,White-winged Crossbill,Species,Birds,,,,,,
YellowbelliedFlycatcher,Empidonax flaviventris,99002621,Yellow-bellied Flycatcher,Species,Birds,,,,,,
YellowbelliedSapsucker,Sphyrapicus varius,178202,Yellow-bellied Sapsucker,Species,Birds,,,,,,
YellowWarbler,Setophaga petechia,99001398,Yellow Warbler,Species,Birds,,,,,,
YellowheadedBlackbird,Xanthocephalus xanthocephalus,179043,Yellow-headed Blackbird,Species,Birds,,,,,,
YellowrumpedWarbler,Setophaga coronata,99001401,Yellow-rumped Warbler,Species,Birds,,,,,,
