Scientific_Name,Common_Name,LocalScale_Agriculture,LocalScale_Forestry,LocalScale_Energy,LocalScale_Urban/Industrial,LocalScale_Transportation,Total_Agriculture,Total_Forestry,Total_Energy,Total_Urban/Industrial,Total_Transportation
Contopus cooperi,Olive-sided Flycatcher,-86.59,45.29,-85.79,-100.00,-99.64,-1.18,2.16,-1.36,-0.33,-0.63
Oreothlypis celata,Orange-crowned Warbler,-79.96,216.13,61.35,-59.79,96.01,-2.06,13.13,1.20,-0.24,0.98
Seiurus aurocapilla,Ovenbird,-79.46,-25.01,-47.77,-63.44,-96.97,-4.05,-2.46,-1.06,-0.41,-1.05
Setophaga palmarum,Palm Warbler,-77.23,26.73,4.78,-83.57,-97.25,-0.50,0.17,0.08,-0.24,-0.35
Vireo philadelphicus,Philadelphia Vireo,3.93,107.59,35.39,12.95,-16.06,0.13,8.53,0.75,0.05,-0.14
Dryocopus pileatus,Pileated Woodpecker,-72.59,-11.13,-7.20,-30.99,-26.28,-3.75,-1.19,-0.14,-0.19,-0.29
Spinus pinus,Pine Siskin,-73.00,-35.11,-53.76,-39.90,-86.65,-2.08,-4.37,-0.82,-0.17,-0.98
Haemorhous purpureus,Purple Finch,-67.73,33.21,-5.58,28.73,-26.37,-4.40,4.40,-0.11,0.16,-0.34
Sitta canadensis,Red-breasted Nuthatch,-87.38,-66.88,-63.13,-58.77,-54.30,-5.49,-10.76,-1.17,-0.43,-0.78
Vireo olivaceus,Red-eyed Vireo,21.57,136.00,83.72,-18.48,-33.84,1.01,9.59,1.71,-0.12,-0.36
Agelaius phoeniceus,Red-winged Blackbird,120.84,17.20,20.26,83.35,183.28,7.91,0.92,0.41,0.48,2.09
Columba livia,Rock Pigeon,10000.00,-100.00,10000.00,5014.45,2037.13,1723.82,-3.60,544.39,157.05,165.45
Pheucticus ludovicianus,Rose-breasted Grosbeak,-54.84,94.27,27.00,-76.02,-79.88,-3.76,9.69,0.55,-0.49,-0.94
Regulus calendula,Ruby-crowned Kinglet,-82.68,-54.63,-72.42,-79.79,-88.80,-1.40,-3.51,-1.48,-0.27,-0.73
Bonasa umbellus,Ruffed Grouse,-59.04,193.98,-9.64,-94.31,-6.92,-2.79,15.97,-0.21,-0.57,-0.09
Euphagus carolinus,Rusty Blackbird,-26.78,29.59,139.93,-100.00,192.94,-0.29,0.53,2.11,-0.27,0.67
Passerculus sandwichensis,Savannah Sparrow,1271.18,5.33,-84.34,366.54,-74.35,44.60,0.13,-0.97,3.98,-0.68
Cistothorus platensis,Sedge Wren,-55.15,7460.77,350.36,-100.00,174.48,-3.93,3.23,5.15,-3.03,2.14
Tringa solitaria,Solitary Sandpiper,-36.52,51.39,1.31,11.21,15.10,-0.84,1.37,0.03,0.04,0.10
Melospiza melodia,Song Sparrow,594.50,31.48,24.84,271.24,245.47,35.74,1.96,0.52,2.21,3.10
Porzana carolina,Sora,103.74,-29.44,91.69,-9.36,-75.25,4.12,-0.75,1.37,-0.04,-0.49
Actitis macularius,Spotted Sandpiper,68.03,57.58,82.87,132.47,88.76,1.12,1.93,0.90,1.02,0.75
Catharus ustulatus,Swainson's Thrush,-94.54,-37.96,-52.31,-75.65,-88.86,-3.59,-3.72,-0.96,-0.30,-0.82
Melospiza georgiana,Swamp Sparrow,-66.14,59.72,-13.94,-51.13,-35.54,-1.39,0.63,-0.24,-0.18,-0.17
Oreothlypis peregrina,Tennessee Warbler,-87.72,-10.91,16.56,-43.92,-49.13,-3.43,-0.95,0.30,-0.21,-0.38
Tachycineta bicolor,Tree Swallow,59.04,171.58,56.87,227.33,-3.91,1.85,6.04,1.08,0.95,-0.03
Ixoreus naevius,Varied Thrush,-99.98,-52.97,-25.86,-11.49,-86.85,-0.96,-5.57,-0.27,-0.03,-0.78
Catharus fuscescens,Veery,-81.04,38.95,-27.71,-100.00,-18.29,-6.05,2.11,-0.58,-0.84,-0.27
Pooecetes gramineus,Vesper Sparrow,637.37,87.24,-76.35,48.00,-58.51,50.94,5.81,-1.11,0.53,-0.78
Vireo gilvus,Warbling Vireo,-72.17,3.53,-35.23,-70.76,-73.39,-3.40,0.50,-0.79,-0.39,-1.16
Sturnella neglecta,Western Meadowlark,567.08,99.65,-86.07,39.55,-99.19,40.94,7.88,-1.90,0.57,-2.81
Piranga ludoviciana,Western Tanager,-96.22,-75.53,-53.39,-70.24,-65.60,-8.01,-10.21,-0.81,-0.44,-0.66
Contopus sordidulus,Western Wood-pewee,-41.43,28.35,-25.95,-54.48,-16.19,-1.59,2.15,-0.53,-0.27,-0.17
Sitta carolinensis,White-breasted Nuthatch,-31.06,-73.44,63.79,16.93,-13.78,-1.99,-13.20,1.82,0.12,-0.25
Zonotrichia leucophrys,White-crowned Sparrow,-91.96,229.34,57.02,39.60,32.88,-0.83,6.12,0.54,0.07,0.18
Zonotrichia albicollis,White-throated Sparrow,-48.38,106.73,52.81,-26.31,128.18,-2.32,9.35,1.07,-0.14,1.32
Loxia leucoptera,White-winged Crossbill,-95.16,-53.60,-38.74,3.92,-46.54,-2.33,-4.63,-0.77,0.01,-0.36
Gallinago delicata,Wilson's Snipe,11.65,156.72,11.02,-36.94,-77.27,0.33,6.10,0.22,-0.15,-0.58
Cardellina pusilla,Wilson's Warbler,-79.20,87.64,-69.60,-48.38,-37.48,-0.81,3.29,-0.91,-0.13,-0.22
