"","SpeciesID","ScientificName","speciesCode","TSNID","CommonName","Rank","Taxon"
"NorthernFlicker","NorthernFlicker","Colaptes auratus","NOFL",178154,"Northern Flicker","Species","Birds"
"NorthernWaterthrush","NorthernWaterthrush","Parkesia noveboracensis","NOWA",99001337,"Northern Waterthrush","Species","Birds"
"OlivesidedFlycatcher","OlivesidedFlycatcher","Contopus cooperi","OSFL",99002662,"Olive-sided Flycatcher","Species","Birds"
"OrangecrownedWarbler","OrangecrownedWarbler","Leiothlypis celata","OCWA",950015,"Orange-crowned Warbler","Species","Birds"
"Ovenbird","Ovenbird","Seiurus aurocapilla","OVEN",726205,"Ovenbird","Species","Birds"
"PalmWarbler","PalmWarbler","Setophaga palmarum","PAWA",99001406,"Palm Warbler","Species","Birds"
"PhiladelphiaVireo","PhiladelphiaVireo","Vireo philadelphicus","PHVI",179022,"Philadelphia Vireo","Species","Birds"
"PileatedWoodpecker","PileatedWoodpecker","Dryocopus pileatus","PIWO",178166,"Pileated Woodpecker","Species","Birds"
"PineSiskin","PineSiskin","Spinus pinus","PISI",99001434,"Pine Siskin","Species","Birds"
"PurpleFinch","PurpleFinch","Haemorhous purpureus","PUFI",99002576,"Purple Finch","Species","Birds"
"RedbreastedNuthatch","RedbreastedNuthatch","Sitta canadensis","RBNU",99003064,"Red-breasted Nuthatch","Species","Birds"
"RedeyedVireo","RedeyedVireo","Vireo olivaceus","REVI",179021,"Red-eyed Vireo","Species","Birds"
"RedwingedBlackbird","RedwingedBlackbird","Agelaius phoeniceus","RWBL",179045,"Red-winged Blackbird","Species","Birds"
"RockPigeon","RockPigeon","Columba livia","ROPI",99003061,"Rock Pigeon","Species","Birds"
"RosebreastedGrosbeak","RosebreastedGrosbeak","Pheucticus ludovicianus","RBGR",179139,"Rose-breasted Grosbeak","Species","Birds"
"RubycrownedKinglet","RubycrownedKinglet","Corthylio calendula","RCKI",99007619,"Ruby-crowned Kinglet","Species","Birds"
"RuffedGrouse","RuffedGrouse","Bonasa umbellus","RUGR",175790,"Ruffed Grouse","Species","Birds"
"RustyBlackbird","RustyBlackbird","Euphagus carolinus","RUBL",179091,"Rusty Blackbird","Species","Birds"
"SavannahSparrow","SavannahSparrow","Passerculus sandwichensis","SAVS",99007670,"Savannah Sparrow","Species","Birds"
"SedgeWren","SedgeWren","Cistothorus stellaris","SEWR",99007686,"Sedge Wren","Species","Birds"
"SolitarySandpiper","SolitarySandpiper","Tringa solitaria","SOSA",99002631,"Solitary Sandpiper","Species","Birds"
"SongSparrow","SongSparrow","Melospiza melodia","SOSP",99007668,"Song Sparrow","Species","Birds"
"SpottedSandpiper","SpottedSandpiper","Actitis macularius","SPSA",99002634,"Spotted Sandpiper","Species","Birds"
"SwainsonsThrush","SwainsonsThrush","Catharus ustulatus","SWTH",179788,"Swainson's Thrush","Species","Birds"
"SwampSparrow","SwampSparrow","Melospiza georgiana","SWSP",99007666,"Swamp Sparrow","Species","Birds"
"TennesseeWarbler","TennesseeWarbler","Leiothlypis peregrina","TEWA",950014,"Tennessee Warbler","Species","Birds"
"TreeSwallow","TreeSwallow","Tachycineta bicolor","TRES",99002649,"Tree Swallow","Species","Birds"
"VariedThrush","VariedThrush","Ixoreus naevius","VATH",179773,"Varied Thrush","Species","Birds"
"VesperSparrow","VesperSparrow","Pooecetes gramineus","VESP",99007678,"Vesper Sparrow","Species","Birds"
"WarblingVireo","WarblingVireo","Vireo gilvus","WAVI",179023,"Warbling Vireo","Species","Birds"
"WesternTanager","WesternTanager","Piranga ludoviciana","WETA",99002586,"Western Tanager","Species","Birds"
"WesternWoodPewee","WesternWoodPewee","Contopus sordidulus","WEWP",99002628,"Western Wood-Pewee","Species","Birds"
"WhitebreastedNuthatch","WhitebreastedNuthatch","Sitta carolinensis","WBNU",99003065,"White-breasted Nuthatch","Species","Birds"
"WhitecrownedSparrow","WhitecrownedSparrow","Zonotrichia leucophrys","WCSP",99007650,"White-crowned Sparrow","Species","Birds"
"WhitethroatedSparrow","WhitethroatedSparrow","Zonotrichia albicollis","WTSP",99007649,"White-throated Sparrow","Species","Birds"
"WhitewingedCrossbill","WhitewingedCrossbill","Loxia leucoptera","WWCR",179268,"White-winged Crossbill","Species","Birds"
"WilsonsSnipe","WilsonsSnipe","Gallinago delicata","WISN",99002630,"Wilson's Snipe","Species","Birds"
"WilsonsWarbler","WilsonsWarbler","Cardellina pusilla","WIWA",99001415,"Wilson's Warbler","Species","Birds"
"WinterWren","WinterWren","Troglodytes hiemalis","WIWR",99001407,"Winter Wren","Species","Birds"
"YellowWarbler","YellowWarbler","Setophaga petechia","YEWA",99001398,"Yellow Warbler","Species","Birds"
"YellowbelliedFlycatcher","YellowbelliedFlycatcher","Empidonax flaviventris","YBFL",99002621,"Yellow-bellied Flycatcher","Species","Birds"
"YellowbelliedSapsucker","YellowbelliedSapsucker","Sphyrapicus varius","YBSA",178202,"Yellow-bellied Sapsucker","Species","Birds"
"YellowheadedBlackbird","YellowheadedBlackbird","Xanthocephalus xanthocephalus","YHBL",179043,"Yellow-headed Blackbird","Species","Birds"
"YellowrumpedWarbler","YellowrumpedWarbler","Setophaga coronata","YRWA",99001401,"Yellow-rumped Warbler","Species","Birds"
